"date";"bank";"account";"number";"mode";"payee";"comment";"quantity";"unit";"amount";"sign";"category";"status";"tracker";"bookmarked";"id";"idtransaction";"idgroup"
"2022-10-25";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 241022 MERCHANT       CARTE   4974********4225";"-9.30";"€";"-9.30";"-";"Alimentation > Restaurant";"Y";"";"N";"38";"38";"0"
"2022-10-25";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 241022 MERCHANT       CARTE   4974********4225";"-43.12";"€";"-43.12";"-";"Alimentation > Supermarché";"Y";"";"N";"39";"39";"0"
"2022-10-26";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 241022 AMAZON PAYMENTS PAYLI2441535/   CARTE   4974********4225";"-14.38";"€";"-14.38";"-";"Divers > Achat Divers";"Y";"";"N";"40";"40";"0"
"2022-10-26";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 251022 MERCHANT   4974********4225                NLD";"-22.99";"€";"-22.99";"-";"Alimentation > Restaurant";"Y";"";"N";"41";"41";"0"
"2022-10-27";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 261022 MERCHANT  PAYLI2090401/   CARTE   4974********4225";"-30.40";"€";"-30.40";"-";"Divers > Achat Divers";"Y";"";"N";"42";"42";"0"
"2022-10-27";"Bank_001";"Account_001";"";"Crédit";"Payee_003";"/DE COMPANY_002 SAS  - DIRECTION FINANCIERE /MOTIF  XXXXXXXXXX 45125";"2734.51";"€";"2734.51";"+";"Revenus du travail > Salaire net";"Y";"";"N";"43";"43";"0"
"2022-10-28";"Bank_001";"Account_001";"";"Débit";"Payee_002";"SYMAMOBILE ECH/281022 ID EMETTEUR/FRXXZZZXXXXXX MDT/XXXXXXXXXX";"-4.90";"€";"-4.90";"-";"Frais généraux > Téléphone portable";"Y";"";"N";"44";"44";"0"
"2022-10-28";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 271022 MERCHANT       CARTE   4974********4225";"-16.00";"€";"-16.00";"-";"Alimentation > Restaurant";"Y";"";"N";"45";"45";"0"
"2022-10-31";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 281022 MERCHANT         PARIS           CARTE   4974********4225";"-22.99";"€";"-22.99";"-";"Alimentation > Restaurant";"Y";"";"N";"46";"46";"0"
"2022-11-02";"Bank_001";"Account_001";"";"Crédit";"Payee_001";"REMBOURST CB DU 311022 MERCHANT    CARTE   4974********4225";"9.25";"€";"9.25";"+";"Divers > Achat Divers";"Y";"";"N";"47";"47";"0"
"2022-11-02";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 011122 MERCHANT       CARTE   4974********4225";"-12.00";"€";"-12.00";"-";"Alimentation > Restaurant";"Y";"";"N";"48";"48";"0"
"2022-11-02";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 301022 MERCHANT   4974********4225                NLD";"-15.99";"€";"-15.99";"-";"Alimentation > Restaurant";"Y";"";"N";"49";"49";"0"
"2022-11-02";"Bank_001";"Account_001";"";"Crédit";"Payee_226";"REMBOURST CB DU 311022 MERCHANT    CARTE   4974********4225";"211.45";"€";"211.45";"+";"Autres revenus > Remboursement non tracké";"Y";"";"N";"50";"50";"0"
"2022-11-03";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 021122 MERCHANT       CARTE   4974********4225";"-11.00";"€";"-11.00";"-";"Alimentation > Restaurant";"Y";"";"N";"51";"51";"0"
"2022-11-07";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 041122 MERCHANT   BOULOGNE BIL    CARTE   4974********4225";"-5.00";"€";"-5.00";"-";"Loisirs > Jeux et jouets";"Y";"";"N";"52";"52";"0"
"2022-11-07";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 041122 ESCOTA, 2 PAIEM MANDELIEU LA    CARTE   4974********4225";"-6.40";"€";"-6.40";"-";"Automobile > Péage";"Y";"";"N";"53";"53";"0"
"2022-11-07";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 041122 MERCHANT     LOCATION_001         CARTE   4974********4225";"-9.30";"€";"-9.30";"-";"Alimentation > Restaurant";"Y";"";"N";"54";"54";"0"
"2022-11-07";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 061122 MERCHANT         PARIS           CARTE   4974********4225";"-15.99";"€";"-15.99";"-";"Alimentation > Restaurant";"Y";"";"N";"55";"55";"0"
"2022-11-07";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 051122 MERCHANT       CARTE   4974********4225";"-16.70";"€";"-16.70";"-";"Alimentation > Restaurant";"Y";"";"N";"56";"56";"0"
"2022-11-07";"Bank_001";"Account_001";"";"Débit";"Payee_002";"TOTALENERGIES ELECTRICITE ET GAZ FR ECH/071122 ID EMETTEUR/FRXXZZZXXXXXX";"-31.00";"€";"-31.00";"-";"Maison > Electricité";"Y";"";"N";"57";"57";"0"
"2022-11-07";"Bank_001";"Account_001";"";"Débit";"Payee_002";"FONCIA ECH/071122 ID EMETTEUR/FRXXZZZXXXXXX MDT/XXXXXXXXXX";"-685.44";"€";"-685.44";"-";"Maison > Loyer";"Y";"";"N";"58";"58";"0"
"2022-11-08";"Bank_001";"Account_001";"";"Débit";"Payee_004";"07/11/22 08H40 129437   BNP PARIBAS               LE LOCATION_002        000";"-500.00";"€";"-500.00";"-";"Uncategorized";"Y";"";"N";"59";"59";"0"
"2022-11-09";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 081122 MERCHANT  VILLENEUVE LO   CARTE   4974********4225";"-40.00";"€";"-40.00";"-";"Alimentation > Cantine";"Y";"";"N";"60";"60";"0"
"2022-11-09";"Bank_001";"Account_001";"";"Crédit";"Payee_003";"/DE RAKUTEN EUROPE BANK SA /MOTIF XXXXXXXXXX REVERSEMENT PO";"125.86";"€";"125.86";"+";"Autres revenus > Revente de biens";"Y";"";"N";"61";"61";"0"
